,관광지명,lat,lon
0,경기 포천시 포천로2811번길 178-0,37.9935529,127.1573778
1,경북 칠곡군 학하4길 57-105,36.0953065,128.4857395
2,경남 함안군,35.2725591,128.4064797
3,서울 강동구,37.5301251,127.123762
4,강원 평창군 이승복생가길 160-0,37.7126287,128.4804926
5,경북 영덕군 고래불로 12-0,36.5675773,129.4230584
6,전북 부안군 변산해변로 765-0,35.6413164,126.4800746
7,충남 태안군 곰섬로 535-0,36.5896,126.2902032
8,경기 수원시 영통구 광교호수로 57-0,37.2753925,127.0674623
9,경기 용인시 처인구 보개원삼로1372번길 41-0,37.1175186,127.3118503
10,경기 여주시 강변유원지길 107-0,37.2915728,127.6645132
11,경기 김포시 용강로 325-0,37.7433164,126.5571836
12,경기 김포시 월하로912번길 64-0,37.7034746,126.6548693
13,경남 김해시,35.2285451,128.8893517
14,경기 연천군 어삼로 391-81,38.0167127,126.9752383
15,서울 마포구 한강난지로 22-0,37.567888,126.878155
16,강원 영월군 내리계곡로 1039-18,37.1039535,128.6804881
17,대전 서구,36.3545224,127.3836025
18,인천 서구 정서진로 500-0,37.5711136,126.6704459
19,서울 마포구 하늘공원로 84-0,37.5677554,126.8856819
20,전북 남원시 지리산로 365-0,35.3547968,127.5581568
21,충북 제천시,37.1325821,128.1909481
22,경기 안산시 단원구 구봉길 102-36,37.2767504,126.5587395
23,경기 안산시 단원구 장불길 31-23,37.2012551,126.5602325
24,경기 안산시 단원구 대부황금로 110-0,37.20147,126.6448632
25,부산 강서구,35.2122157,128.9805666
26,대전 대덕구 대청로424번길 200-0,36.4505206,127.4687764
27,경기 포천시 대회산길 79-89,38.0673925,127.2395456
28,경기 남양주시 북한강로 1630-18,37.6529829,127.3701474
29,충북 제천시 미륵송계로 1360-0,36.8641665,128.0878749
30,경기 광명시 밤일안로42번길 69-0,37.4559536,126.8598487
31,경기 포천시 화동로 2318-6,38.0499025,127.3823053
32,강원 정선군 동강로 916-212,37.2521998,128.6149414
33,인천 강화군 해안남로 1481-0,37.593441,126.4586944
34,경기 파주시 파평산로363번길 32-9,37.8920642,126.8404835
35,인천 계양구,37.53695039999999,126.7377435
36,충남 태안군 꾸지나무길 37-76,36.930542,126.2953281
37,강원 동해시 동해대로 6370-0,37.5311952,129.1068506
38,강원 동해시 동해대로 6220-0,37.5311952,129.1068506
39,충북 충주시,36.9910113,127.9259497
40,충남 태안군 몽산포길 0-0,36.6744285,126.285953
41,충남 태안군 몽산포길 65-24,36.6696446,126.2871932
42,충남 태안군,36.7456421,126.2980528
43,충남 태안군 몽산포길 99-20,36.6736817,126.2822644
44,경기 김포시 문수산로 104-107,37.7404912,126.5353096
45,경기 시흥시 동서로 706-90,37.3819253,126.8286301
46,경남 밀양시,35.5037598,128.7464415
47,강원 양양군 동명로 321-14,38.0895173,128.6581241
48,강원 고성군 문암항길 133-0,38.3016239,128.5458715
49,경기 포천시 호국로 2671-22,37.9823583,127.2421576
50,경기 김포시 종생로 154-0,37.645479,126.597029
51,강원 횡성군 어답산로 516-0,37.5936717,128.0574155
52,강원 홍천군 밤벌길 131-53,37.7041641,127.6056728
53,강원 고성군,38.3801292,128.4674385
54,강원 양양군,38.0753925,128.6188503
55,경기 화성시 자청로207번길 21-73,37.2105949,126.8946112
56,부산 사상구,35.1526399,128.9908173
57,충남 서산시 진장서낭골길 204-0,36.7775109,126.3513988
58,경기 가평군 운악청계로333번길 86-0,37.8469633,127.3466885
59,경기 과천시,37.429246,126.9874451
60,충남 태안군,36.7456421,126.2980528
61,강원 속초시 청봉로 25-0,38.1626092,128.5443188
62,강원 원주시 선유길 135-0,37.2514543,127.7555895
63,강원 강릉시,37.751853,128.8760574
64,경기 용인시 처인구 경기동로785번길 30-0,37.1366803,127.2139721
65,경기 양평군 사기점길 53-0,37.5406722,127.4692239
66,강원 양양군 송평길 38-0,38.09151550000001,128.6537962
67,강원 영월군 무릉법흥로 740-0,37.328109,128.2710353
68,강원 고성군 동해대로 6090-0,38.3440485,128.511709
69,인천 서구 정서진로 500-0,37.5711136,126.6704459
70,광주 남구,35.1221068,126.9079579
71,인천 옹진군,37.213889,126.178333
72,인천 강화군 해안남로 2680-12,37.634535,126.3751961
73,충남 아산시 곡교천로 407-0,36.7918275,126.9929535
74,경기 연천군 왕산로218번길 61-0,38.07331,127.0070259
75,강원 양양군 동명로 321-20,38.089695,128.6561398
76,경기 양평군,37.4912195,127.4875607
77,경기 양평군,37.4912195,127.4875607
78,충남 태안군 모항파도로 398-42,36.7531808,126.1405712
79,충남 태안군 모항파도로 398-70,36.7531808,126.1405712
80,강원 강릉시 해안로 1282-0,37.8580844,128.8530771
81,인천 중구,37.4737341,126.6214796
82,인천 중구 큰말로 25-0,37.619122,126.381686
83,경북 영천시 신방로 19-0,36.0724234,129.0672676
84,경북 김천시 오봉로 0-0,36.11185830000001,128.2443001
85,충북 옥천군 안터2길 158-99,36.3207099,127.6253808
86,전북 진안군 안용로 832-23,35.952486,127.5281078
87,경기 용인시 처인구 보개원삼로1462번길 14-22,37.124696,127.3114748
88,경남 양산시,35.3350072,129.0371689
89,경기 포천시 간자동길 138-100,37.9748265,127.1509471
90,경기 여주시 여양로 1935-177,37.3735142,127.5893231
91,인천 남동구,37.4469893,126.7319416
92,인천 연수구 지식기반로 152-0,37.4094099,126.6783088
93,경기 남양주시 금강로746번길 61-0,37.6723732,127.1586185
94,경기 파주시 임진각로 148-40,37.8925252,126.7445393
95,경기 가평군 자라섬로 60-0,37.8209476,127.5208644
96,강원 삼척시 장호1길 41-0,37.2853447,129.3124387
97,경기 연천군 현문로508번길 140-0,38.0692505,127.1082386
98,서울 중랑구 망우로87길 110-0,37.6066977,127.1101168
99,경기 평택시,36.9921075,127.1129451
100,충북 진천군 봉죽2길 20-78,36.7850674,127.4212526
101,인천 서구,37.5454212,126.6759723
102,강원 동해시 촛대바위길 6-0,37.4783662,129.1581726
103,충남 서천군 춘장대로151번길 31-0,36.1666693,126.5258903
104,충북 충주시 호반로 696-1,37.0274527,128.0416064
105,경북 칠곡군 강변서로 110-43,35.9953059,128.4015434
106,경북 포항시 북구 암각화길 41-0,36.1358159,129.3848664
107,경기 용인시 처인구 전대로 62-0,37.2850251,127.2169014
108,경기 포천시 금강로 3806-80,37.8939253,127.3061238
109,경기 가평군 호반로 976-0,37.71805459999999,127.4516942
110,경남 양산시 청수골길 106-0,35.5224173,129.0176708
111,경기 고양시 일산서구 킨텍스로 217-25,37.67475719999999,126.7557402
112,강원 평창군,37.370474,128.3899769
113,경기 연천군 어삼로 415-11,38.0167127,126.9752383
114,경기 포천시 탑신로 1066-0,37.9412549,127.1356197
115,강원 원주시 소야1길 72-0,37.2599457,128.1638014
116,충남 태안군 옥파로 1152-37,36.89769769999999,126.2076783
117,경기 연천군 선사로 76-0,38.0147057,127.068102
118,인천 강화군 해안남로1196번길 38-0,37.6120401,126.4530611
119,세종시 태산로 329-0,,
120,강원 양양군 구룡령로 2110-39,37.9612452,128.525577
121,경기 안산시 단원구 연목이길 11-1,37.2674188,126.5605635
122,부산 북구 강변대로 1629-0,35.1259867,128.9634308
123,충북 괴산군 화양로 733-38,36.683324,127.8063472
124,경남 합천군 황매산공원길 331-0,35.4850366,127.9977164
125,경남 양산시 낙동로 295-19,35.3059959,128.9834505
126,경기 양주시 만송로366번길 215-29,37.7845677,127.0997292
127,강원 평창군 흥정계곡4길 91-0,37.6518188,128.3137355
