지역,1위 휴양림,1위 휴양림 이용수,2위 휴양림,2위 휴양림 이용수,3위 휴양림,3위 휴양림 이용수,4위 휴양림,4위 휴양림 이용수,5위 휴양림,5위 휴양림 이용수
서울,유명산 자연휴양림,127,산음 자연휴양림,64,중미산 자연휴양림,39,대관령 자연휴양림,318,청태산 자연휴양림,161
인천,유명산 자연휴양림,6533,산음 자연휴양림,4286,청태산 자연휴양림,3051,대관령 자연휴양림,2953,아세안 자연휴양림,2580
경기,유명산 자연휴양림,30033,산음 자연휴양림,18596,대관령 자연휴양림,13739,청태산 자연휴양림,13601,중미산 자연휴양림,11725
강원,용화산 자연휴양림,2805,화천숲속 야영장,1826,대관령 자연휴양림,1551,백운산 자연휴양림,1322,청태산 자연휴양림,1320
대전,덕유산 자연휴양림,2515,희리산 자연휴양림,2411,변산 자연휴양림,2066,운장산 자연휴양림,1538,남해편백 자연휴양림,1151
충북,상당산성 자연휴양림,3285,대야산 자연휴양림,1144,희리산 자연휴양림,1067,속리산 자연휴양림,1034,칠보산 자연휴양림,935
충남,희리산 자연휴양림,3935,용현 자연휴양림,3562,오서산 자연휴양림,1903,변산 자연휴양림,1632,덕유산 자연휴양림,1359
대구,운문산 자연휴양림,4327,칠보산 자연휴양림,4141,청옥산 자연휴양림,3880,남해편백 자연휴양림,3036,대야산 자연휴양림,2451
부산,운문산 자연휴양림,10197,신불산 자연휴양림,9713,남해편백 자연휴양림,7440,달음산 자연휴양림,4834,지리산 자연휴양림,3980
울산,운문산 자연휴양림,6103,신불산 자연휴양림,4302,남해편백 자연휴양림,1749,칠보산 자연휴양림,1427,청옥산 자연휴양림,1122
경북,칠보산 자연휴양림,4895,청옥산 자연휴양림,4269,운문산 자연휴양림,3301,통고산 자연휴양림,2637,대야산 자연휴양림,2393
경남,남해편백 자연휴양림,7489,지리산 자연휴양림,4091,신불산 자연휴양림,3887,운문산 자연휴양림,3759,덕유산 자연휴양림,1903
광주,방장산 자연휴양림,2677,변산 자연휴양림,2071,진도 자연휴양림,1831,회문산 자연휴양림,1494,천관산 자연휴양림,1440
전북,희리산 자연휴양림,5070,변산 자연휴양림,4969,운장산 자연휴양림,4702,회문산 자연휴양림,2529,덕유산 자연휴양림,2401
전남,진도 자연휴양림,1370,천관산 자연휴양림,1283,낙안민속 자연휴양림,869,방장산 자연휴양림,817,남해편백 자연휴양림,809
제주,신시도자연휴양림,484,남해편백 자연휴양림,31,대관령 자연휴양림,31,희리산 자연휴양림,27,산음 자연휴양림,27
세종,희리산 자연휴양림,794,덕유산 자연휴양림,464,변산 자연휴양림,447,오서산 자연휴양림,292,상당산성 자연휴양림,284
